Estacao,Data,Hora,Precipitacao
83783,01/01/2015,1200,"32,8"
83783,02/01/2015,1200,"19,6"
83783,03/01/2015,1200,"15,7"
83783,04/01/2015,1200,"2,4"
83783,05/01/2015,1200,"37,2"
83783,06/01/2015,1200,"11,4"
83783,07/01/2015,1200,0
83783,08/01/2015,1200,"8,9"
83783,09/01/2015,1200,"53,2"
83783,10/01/2015,1200,0
83783,11/01/2015,1200,0
83783,12/01/2015,1200,"9,2"
83783,13/01/2015,1200,0
83783,14/01/2015,1200,"58,5"
83783,15/01/2015,1200,0
83783,16/01/2015,1200,0
83783,17/01/2015,1200,0
83783,18/01/2015,1200,0
83783,19/01/2015,1200,0
83783,20/01/2015,1200,0
83783,21/01/2015,1200,"6,1"
83783,22/01/2015,1200,0
83783,23/01/2015,1200,0
83783,24/01/2015,1200,0
83783,25/01/2015,1200,0
83783,26/01/2015,1200,"14,7"
83783,27/01/2015,1200,"13,2"
83783,28/01/2015,1200,"5,8"
83783,29/01/2015,1200,"37,2"
83783,30/01/2015,1200,"41,7"
83783,31/01/2015,1200,0
83783,01/02/2015,1200,0
83783,02/02/2015,1200,0
83783,03/02/2015,1200,"2,5"
83783,04/02/2015,1200,"101,5"
83783,05/02/2015,1200,6
83783,06/02/2015,1200,"15,8"
83783,07/02/2015,1200,0
83783,08/02/2015,1200,0
83783,09/02/2015,1200,0
83783,10/02/2015,1200,0
83783,11/02/2015,1200,"1,5"
83783,12/02/2015,1200,0
83783,13/02/2015,1200,0
83783,14/02/2015,1200,23
83783,15/02/2015,1200,29
83783,16/02/2015,1200,"7,5"
83783,17/02/2015,1200,"1,7"
83783,18/02/2015,1200,"10,3"
83783,19/02/2015,1200,0
83783,20/02/2015,1200,"10,9"
83783,21/02/2015,1200,"15,7"
83783,22/02/2015,1200,"0,6"
83783,23/02/2015,1200,0
83783,24/02/2015,1200,0
83783,25/02/2015,1200,"7,2"
83783,26/02/2015,1200,0
83783,27/02/2015,1200,"0,7"
83783,28/02/2015,1200,"26,3"
83783,01/03/2015,1200,0
83783,02/03/2015,1200,0
83783,03/03/2015,1200,0
83783,04/03/2015,1200,0
83783,05/03/2015,1200,0
83783,06/03/2015,1200,"1,4"
83783,07/03/2015,1200,"38,5"
83783,08/03/2015,1200,"6,3"
83783,09/03/2015,1200,6
83783,10/03/2015,1200,"8,7"
83783,11/03/2015,1200,0
83783,12/03/2015,1200,0
83783,13/03/2015,1200,"6,5"
83783,14/03/2015,1200,0
83783,15/03/2015,1200,0
83783,16/03/2015,1200,"0,7"
83783,17/03/2015,1200,"0,8"
83783,18/03/2015,1200,0
83783,19/03/2015,1200,0
83783,20/03/2015,1200,0
83783,21/03/2015,1200,"2,4"
83783,22/03/2015,1200,"6,1"
83783,23/03/2015,1200,0
83783,24/03/2015,1200,0
83783,25/03/2015,1200,0
83783,26/03/2015,1200,0
83783,27/03/2015,1200,"2,8"
83783,28/03/2015,1200,0
83783,29/03/2015,1200,0
83783,30/03/2015,1200,"23,8"
83783,31/03/2015,1200,0
83783,01/04/2015,1200,0
83783,02/04/2015,1200,0
83783,03/04/2015,1200,0
83783,04/04/2015,1200,0
83783,05/04/2015,1200,"7,5"
83783,06/04/2015,1200,0
83783,07/04/2015,1200,0
83783,08/04/2015,1200,0
83783,09/04/2015,1200,0
83783,10/04/2015,1200,0
83783,11/04/2015,1200,0
83783,12/04/2015,1200,0
83783,13/04/2015,1200,0
83783,14/04/2015,1200,0
83783,15/04/2015,1200,0
83783,16/04/2015,1200,"2,3"
83783,17/04/2015,1200,0
83783,18/04/2015,1200,15
83783,19/04/2015,1200,"0,6"
83783,20/04/2015,1200,0
83783,21/04/2015,1200,0
83783,22/04/2015,1200,"10,2"
83783,23/04/2015,1200,"1,3"
83783,24/04/2015,1200,0
83783,25/04/2015,1200,0
83783,26/04/2015,1200,0
83783,27/04/2015,1200,0
83783,28/04/2015,1200,0
83783,29/04/2015,1200,0
83783,30/04/2015,1200,0
83783,01/05/2015,1200,0
83783,02/05/2015,1200,0
83783,03/05/2015,1200,0
83783,04/05/2015,1200,"50,6"
83783,05/05/2015,1200,0
83783,06/05/2015,1200,0
83783,07/05/2015,1200,0
83783,08/05/2015,1200,0
83783,09/05/2015,1200,0
83783,10/05/2015,1200,"20,2"
83783,11/05/2015,1200,"36,2"
83783,12/05/2015,1200,0
83783,13/05/2015,1200,0
83783,14/05/2015,1200,0
83783,15/05/2015,1200,"0,6"
83783,16/05/2015,1200,0
83783,17/05/2015,1200,0
83783,18/05/2015,1200,0
83783,19/05/2015,1200,0
83783,20/05/2015,1200,0
83783,21/05/2015,1200,0
83783,22/05/2015,1200,0
83783,23/05/2015,1200,0
83783,24/05/2015,1200,0
83783,25/05/2015,1200,0
83783,26/05/2015,1200,"17,5"
83783,27/05/2015,1200,"31,7"
83783,28/05/2015,1200,25
83783,29/05/2015,1200,0
83783,30/05/2015,1200,"0,3"
83783,31/05/2015,1200,"12,5"
83783,01/06/2015,1200,"0,4"
83783,02/06/2015,1200,0
83783,03/06/2015,1200,0
83783,04/06/2015,1200,0
83783,05/06/2015,1200,0
83783,06/06/2015,1200,0
83783,07/06/2015,1200,0
83783,08/06/2015,1200,0
83783,09/06/2015,1200,0
83783,10/06/2015,1200,0
83783,11/06/2015,1200,0
83783,12/06/2015,1200,"15,6"
83783,13/06/2015,1200,"25,2"
83783,14/06/2015,1200,0
83783,15/06/2015,1200,"11,4"
83783,16/06/2015,1200,0
83783,17/06/2015,1200,0
83783,18/06/2015,1200,0
83783,19/06/2015,1200,"4,4"
83783,20/06/2015,1200,0
83783,21/06/2015,1200,0
83783,22/06/2015,1200,0
83783,23/06/2015,1200,0
83783,24/06/2015,1200,0
83783,25/06/2015,1200,0
83783,26/06/2015,1200,0
83783,27/06/2015,1200,0
83783,28/06/2015,1200,0
83783,29/06/2015,1200,0
83783,30/06/2015,1200,0
83783,01/07/2015,1200,"13,4"
83783,02/07/2015,1200,"2,2"
83783,03/07/2015,1200,"111,8"
83783,04/07/2015,1200,"35,5"
83783,05/07/2015,1200,0
83783,06/07/2015,1200,0
83783,07/07/2015,1200,"11,6"
83783,08/07/2015,1200,"28,4"
83783,09/07/2015,1200,"10,2"
83783,10/07/2015,1200,"0,2"
83783,11/07/2015,1200,"61,4"
83783,12/07/2015,1200,"41,3"
83783,13/07/2015,1200,"17,9"
83783,14/07/2015,1200,0
83783,15/07/2015,1200,"34,1"
83783,16/07/2015,1200,"20,4"
83783,17/07/2015,1200,"62,1"
83783,18/07/2015,1200,"17,4"
83783,19/07/2015,1200,0
83783,20/07/2015,1200,0
83783,21/07/2015,1200,"4,2"
83783,22/07/2015,1200,0
83783,23/07/2015,1200,0
83783,24/07/2015,1200,"0,8"
83783,25/07/2015,1200,"4,2"
83783,26/07/2015,1200,0
83783,27/07/2015,1200,0
83783,28/07/2015,1200,0
83783,29/07/2015,1200,0
83783,30/07/2015,1200,0
83783,31/07/2015,1200,0
83783,01/08/2015,1200,0
83783,02/08/2015,1200,0
83783,03/08/2015,1200,0
83783,04/08/2015,1200,0
83783,05/08/2015,1200,0
83783,06/08/2015,1200,0
83783,07/08/2015,1200,0
83783,08/08/2015,1200,0
83783,09/08/2015,1200,0
83783,10/08/2015,1200,0
83783,11/08/2015,1200,0
83783,12/08/2015,1200,0
83783,13/08/2015,1200,0
83783,14/08/2015,1200,0
83783,15/08/2015,1200,0
83783,16/08/2015,1200,0
83783,17/08/2015,1200,0
83783,18/08/2015,1200,0
83783,19/08/2015,1200,3
83783,20/08/2015,1200,0
83783,21/08/2015,1200,0
83783,22/08/2015,1200,0
83783,23/08/2015,1200,0
83783,24/08/2015,1200,"6,4"
83783,25/08/2015,1200,"14,6"
83783,26/08/2015,1200,0
83783,27/08/2015,1200,"18,4"
83783,28/08/2015,1200,0
83783,29/08/2015,1200,0
83783,30/08/2015,1200,0
83783,31/08/2015,1200,0
83783,01/09/2015,1200,0
83783,02/09/2015,1200,0
83783,03/09/2015,1200,0
83783,04/09/2015,1200,0
83783,05/09/2015,1200,"0,7"
83783,06/09/2015,1200,"3,2"
83783,07/09/2015,1200,0
83783,08/09/2015,1200,"114,5"
83783,09/09/2015,1200,"21,2"
83783,10/09/2015,1200,"0,6"
83783,11/09/2015,1200,"34,6"
83783,12/09/2015,1200,0
83783,13/09/2015,1200,0
83783,14/09/2015,1200,0
83783,15/09/2015,1200,0
83783,16/09/2015,1200,0
83783,17/09/2015,1200,0
83783,18/09/2015,1200,0
83783,19/09/2015,1200,"2,9"
83783,20/09/2015,1200,0
83783,21/09/2015,1200,0
83783,22/09/2015,1200,0
83783,23/09/2015,1200,0
83783,24/09/2015,1200,0
83783,25/09/2015,1200,0
83783,26/09/2015,1200,"37,5"
83783,27/09/2015,1200,0
83783,28/09/2015,1200,14
83783,29/09/2015,1200,0
83783,30/09/2015,1200,"38,7"
83783,01/10/2015,1200,"0,4"
83783,02/10/2015,1200,0
83783,03/10/2015,1200,"44,9"
83783,04/10/2015,1200,"3,2"
83783,05/10/2015,1200,0
83783,06/10/2015,1200,0
