Estacao,Data,Hora,Precipitacao
83813,01/01/2015,1200,"4,6"
83813,02/01/2015,1200,0
83813,03/01/2015,1200,"11,3"
83813,04/01/2015,1200,"49,1"
83813,05/01/2015,1200,"1,4"
83813,06/01/2015,1200,"20,4"
83813,07/01/2015,1200,"4,6"
83813,08/01/2015,1200,"0,7"
83813,09/01/2015,1200,"16,8"
83813,10/01/2015,1200,0
83813,11/01/2015,1200,"19,4"
83813,12/01/2015,1200,0
83813,13/01/2015,1200,0
83813,14/01/2015,1200,12
83813,15/01/2015,1200,0
83813,16/01/2015,1200,0
83813,17/01/2015,1200,8
83813,18/01/2015,1200,0
83813,19/01/2015,1200,"1,4"
83813,20/01/2015,1200,0
83813,21/01/2015,1200,"0,2"
83813,22/01/2015,1200,0
83813,23/01/2015,1200,0
83813,24/01/2015,1200,0
83813,25/01/2015,1200,"0,2"
83813,26/01/2015,1200,"0,6"
83813,27/01/2015,1200,"1,4"
83813,28/01/2015,1200,"9,3"
83813,29/01/2015,1200,"35,4"
83813,30/01/2015,1200,"6,6"
83813,31/01/2015,1200,"4,7"
83813,01/02/2015,1200,0
83813,02/02/2015,1200,0
83813,03/02/2015,1200,"2,6"
83813,04/02/2015,1200,"13,9"
83813,05/02/2015,1200,"17,6"
83813,06/02/2015,1200,"3,6"
83813,07/02/2015,1200,0
83813,08/02/2015,1200,"0,2"
83813,09/02/2015,1200,3
83813,10/02/2015,1200,"1,7"
83813,11/02/2015,1200,0
83813,12/02/2015,1200,0
83813,13/02/2015,1200,"1,4"
83813,14/02/2015,1200,"8,2"
83813,15/02/2015,1200,"20,6"
83813,16/02/2015,1200,11
83813,17/02/2015,1200,"4,3"
83813,18/02/2015,1200,"37,1"
83813,19/02/2015,1200,"14,2"
83813,20/02/2015,1200,"0,2"
83813,21/02/2015,1200,"1,6"
83813,22/02/2015,1200,0
83813,23/02/2015,1200,0
83813,24/02/2015,1200,0
83813,25/02/2015,1200,"20,7"
83813,26/02/2015,1200,"4,7"
83813,27/02/2015,1200,0
83813,28/02/2015,1200,"4,7"
83813,01/03/2015,1200,0
83813,02/03/2015,1200,0
83813,03/03/2015,1200,"0,5"
83813,04/03/2015,1200,0
83813,05/03/2015,1200,0
83813,06/03/2015,1200,"8,9"
83813,07/03/2015,1200,"27,8"
83813,08/03/2015,1200,"14,1"
83813,09/03/2015,1200,"10,4"
83813,10/03/2015,1200,"7,2"
83813,11/03/2015,1200,0
83813,12/03/2015,1200,"6,1"
83813,13/03/2015,1200,"0,9"
83813,14/03/2015,1200,0
83813,15/03/2015,1200,"59,9"
83813,16/03/2015,1200,"4,4"
83813,17/03/2015,1200,"13,2"
83813,18/03/2015,1200,"0,6"
83813,19/03/2015,1200,0
83813,20/03/2015,1200,0
83813,21/03/2015,1200,"3,4"
83813,22/03/2015,1200,"0,2"
83813,23/03/2015,1200,"1,7"
83813,24/03/2015,1200,0
83813,25/03/2015,1200,0
83813,26/03/2015,1200,0
83813,27/03/2015,1200,0
83813,28/03/2015,1200,0
83813,29/03/2015,1200,"55,4"
83813,30/03/2015,1200,"28,8"
83813,31/03/2015,1200,0
83813,01/04/2015,1200,0
83813,02/04/2015,1200,0
83813,03/04/2015,1200,0
83813,04/04/2015,1200,0
83813,05/04/2015,1200,"0,2"
83813,06/04/2015,1200,0
83813,07/04/2015,1200,0
83813,08/04/2015,1200,0
83813,09/04/2015,1200,0
83813,10/04/2015,1200,0
83813,11/04/2015,1200,0
83813,12/04/2015,1200,0
83813,13/04/2015,1200,0
83813,14/04/2015,1200,0
83813,15/04/2015,1200,"0,6"
83813,16/04/2015,1200,0
83813,17/04/2015,1200,0
83813,18/04/2015,1200,0
83813,19/04/2015,1200,0
83813,20/04/2015,1200,"4,1"
83813,21/04/2015,1200,"6,8"
83813,22/04/2015,1200,"61,6"
83813,23/04/2015,1200,"3,9"
83813,24/04/2015,1200,"0,3"
83813,25/04/2015,1200,0
83813,26/04/2015,1200,0
83813,27/04/2015,1200,0
83813,28/04/2015,1200,0
83813,29/04/2015,1200,0
83813,30/04/2015,1200,0
83813,01/05/2015,1200,0
83813,02/05/2015,1200,0
83813,03/05/2015,1200,0
83813,04/05/2015,1200,"25,8"
83813,05/05/2015,1200,0
83813,06/05/2015,1200,0
83813,07/05/2015,1200,0
83813,08/05/2015,1200,0
83813,09/05/2015,1200,0
83813,10/05/2015,1200,"18,1"
83813,11/05/2015,1200,"35,6"
83813,12/05/2015,1200,0
83813,13/05/2015,1200,0
83813,14/05/2015,1200,0
83813,15/05/2015,1200,0
83813,16/05/2015,1200,0
83813,17/05/2015,1200,0
83813,18/05/2015,1200,0
83813,19/05/2015,1200,0
83813,20/05/2015,1200,0
83813,21/05/2015,1200,0
83813,22/05/2015,1200,0
83813,23/05/2015,1200,0
83813,24/05/2015,1200,0
83813,25/05/2015,1200,"6,6"
83813,26/05/2015,1200,"7,1"
83813,27/05/2015,1200,38
83813,28/05/2015,1200,"5,4"
83813,29/05/2015,1200,"0,1"
83813,30/05/2015,1200,0
83813,31/05/2015,1200,"1,4"
83813,01/06/2015,1200,"0,2"
83813,02/06/2015,1200,0
83813,03/06/2015,1200,0
83813,04/06/2015,1200,"0,3"
83813,05/06/2015,1200,0
83813,06/06/2015,1200,0
