Estacao,Data,Hora,Precipitacao
83842,01/01/2015,1200,0.2
83842,02/01/2015,1200,10.4
83842,03/01/2015,1200,0.7
83842,04/01/2015,1200,6.7
83842,05/01/2015,1200,10.3
83842,06/01/2015,1200,22.2
83842,07/01/2015,1200,40.2
83842,08/01/2015,1200,0.4
83842,09/01/2015,1200,4.5
83842,10/01/2015,1200,0
83842,11/01/2015,1200,3
83842,12/01/2015,1200,19.8
83842,13/01/2015,1200,0.5
83842,14/01/2015,1200,10.8
83842,15/01/2015,1200,0.4
83842,16/01/2015,1200,0
83842,17/01/2015,1200,0
83842,18/01/2015,1200,0
83842,19/01/2015,1200,0
83842,20/01/2015,1200,8.4
83842,21/01/2015,1200,11.6
83842,22/01/2015,1200,0.5
83842,23/01/2015,1200,0.3
83842,24/01/2015,1200,0
83842,25/01/2015,1200,0
83842,26/01/2015,1200,1.4
83842,27/01/2015,1200,0
83842,28/01/2015,1200,12.2
83842,29/01/2015,1200,4
83842,30/01/2015,1200,9.8
83842,31/01/2015,1200,2.2
83842,01/02/2015,1200,0
83842,02/02/2015,1200,0.1
83842,03/02/2015,1200,0
83842,04/02/2015,1200,19.6
83842,05/02/2015,1200,54.3
83842,06/02/2015,1200,4.7
83842,07/02/2015,1200,6.6
83842,08/02/2015,1200,0
83842,09/02/2015,1200,22.4
83842,10/02/2015,1200,1
83842,11/02/2015,1200,0
83842,12/02/2015,1200,4.4
83842,13/02/2015,1200,4.5
83842,14/02/2015,1200,13.8
83842,15/02/2015,1200,32.6
83842,16/02/2015,1200,7.2
83842,17/02/2015,1200,0
83842,18/02/2015,1200,8.8
83842,19/02/2015,1200,11.5
83842,20/02/2015,1200,0
83842,21/02/2015,1200,13.6
83842,22/02/2015,1200,0
83842,23/02/2015,1200,0
83842,24/02/2015,1200,0
83842,25/02/2015,1200,30.4
83842,26/02/2015,1200,2.1
83842,27/02/2015,1200,3.8
83842,28/02/2015,1200,1.7
83842,01/03/2015,1200,0.2
83842,02/03/2015,1200,0
83842,03/03/2015,1200,0
83842,04/03/2015,1200,0
83842,05/03/2015,1200,0
83842,06/03/2015,1200,46
83842,07/03/2015,1200,3.5
83842,08/03/2015,1200,15
83842,09/03/2015,1200,10.2
83842,10/03/2015,1200,0
83842,11/03/2015,1200,1.3
83842,12/03/2015,1200,10.6
83842,13/03/2015,1200,16.2
83842,14/03/2015,1200,0
83842,15/03/2015,1200,10.1
83842,16/03/2015,1200,0
83842,17/03/2015,1200,10.1
83842,18/03/2015,1200,0
83842,19/03/2015,1200,0
83842,20/03/2015,1200,0
83842,21/03/2015,1200,0.2
83842,22/03/2015,1200,4.2
83842,23/03/2015,1200,0.2
83842,24/03/2015,1200,0
83842,25/03/2015,1200,0
83842,26/03/2015,1200,0
83842,27/03/2015,1200,0.4
83842,28/03/2015,1200,31
83842,29/03/2015,1200,17.9
83842,30/03/2015,1200,10.1
83842,31/03/2015,1200,6.5
83842,01/04/2015,1200,0
83842,02/04/2015,1200,0
83842,03/04/2015,1200,0
83842,04/04/2015,1200,0
83842,05/04/2015,1200,0.2
83842,06/04/2015,1200,1
83842,07/04/2015,1200,0
83842,08/04/2015,1200,0
83842,09/04/2015,1200,0
83842,10/04/2015,1200,0
83842,11/04/2015,1200,0
83842,12/04/2015,1200,0
83842,13/04/2015,1200,0
83842,14/04/2015,1200,0
83842,15/04/2015,1200,0
83842,16/04/2015,1200,0
83842,17/04/2015,1200,1.9
83842,18/04/2015,1200,0
83842,19/04/2015,1200,1.2
83842,20/04/2015,1200,0
83842,21/04/2015,1200,7.1
83842,22/04/2015,1200,30.8
83842,23/04/2015,1200,9.2
83842,24/04/2015,1200,0
83842,25/04/2015,1200,0
83842,26/04/2015,1200,0
83842,27/04/2015,1200,0.4
83842,28/04/2015,1200,0
83842,29/04/2015,1200,0
83842,30/04/2015,1200,0.4
83842,01/05/2015,1200,0
83842,02/05/2015,1200,0
83842,03/05/2015,1200,0
83842,04/05/2015,1200,34.4
83842,05/05/2015,1200,0
83842,06/05/2015,1200,0
83842,07/05/2015,1200,0
83842,08/05/2015,1200,0
83842,09/05/2015,1200,0
83842,10/05/2015,1200,7.4
83842,11/05/2015,1200,15.3
83842,12/05/2015,1200,1.4
83842,13/05/2015,1200,0.4
83842,14/05/2015,1200,0.4
83842,15/05/2015,1200,0.6
83842,16/05/2015,1200,0
83842,17/05/2015,1200,0
83842,18/05/2015,1200,0.1
83842,19/05/2015,1200,0
83842,20/05/2015,1200,0.8
83842,21/05/2015,1200,0.2
83842,22/05/2015,1200,0
83842,23/05/2015,1200,0
83842,24/05/2015,1200,0
83842,25/05/2015,1200,9.4
83842,26/05/2015,1200,7.6
83842,27/05/2015,1200,27.9
83842,28/05/2015,1200,9.2
83842,29/05/2015,1200,0
83842,30/05/2015,1200,0
83842,31/05/2015,1200,0
83842,01/06/2015,1200,0.1
83842,02/06/2015,1200,0.2
83842,03/06/2015,1200,0
83842,04/06/2015,1200,0
83842,05/06/2015,1200,0.2
83842,06/06/2015,1200,0
83842,07/06/2015,1200,0
83842,08/06/2015,1200,0
83842,09/06/2015,1200,0
83842,10/06/2015,1200,0
83842,11/06/2015,1200,0
83842,12/06/2015,1200,14.3
83842,13/06/2015,1200,27
83842,14/06/2015,1200,0
83842,15/06/2015,1200,28.3
83842,16/06/2015,1200,0
83842,17/06/2015,1200,0
83842,18/06/2015,1200,0
83842,19/06/2015,1200,9.2
83842,20/06/2015,1200,0
83842,21/06/2015,1200,0
83842,22/06/2015,1200,0.2
83842,23/06/2015,1200,0
83842,24/06/2015,1200,0
83842,25/06/2015,1200,0
83842,26/06/2015,1200,0.1
83842,27/06/2015,1200,2.4
83842,28/06/2015,1200,0.2
83842,29/06/2015,1200,0
83842,30/06/2015,1200,0
83842,01/07/2015,1200,4.3
83842,02/07/2015,1200,0
83842,03/07/2015,1200,11.8
83842,04/07/2015,1200,0
83842,05/07/2015,1200,0
83842,06/07/2015,1200,0
83842,07/07/2015,1200,1.8
83842,08/07/2015,1200,29.2
83842,09/07/2015,1200,8.6
83842,10/07/2015,1200,0
