Estacao;Data;Hora;Precipitacao;
83766;01/01/2015;1200;15.8;
83766;02/01/2015;1200;0.8;
83766;03/01/2015;1200;0;
83766;04/01/2015;1200;0.8;
83766;05/01/2015;1200;42;
83766;06/01/2015;1200;8.6;
83766;07/01/2015;1200;0;
83766;08/01/2015;1200;0;
83766;09/01/2015;1200;21.8;
83766;10/01/2015;1200;0;
83766;11/01/2015;1200;5.6;
83766;12/01/2015;1200;7.2;
83766;13/01/2015;1200;0;
83766;14/01/2015;1200;6.8;
83766;15/01/2015;1200;8.6;
83766;16/01/2015;1200;0;
83766;17/01/2015;1200;0;
83766;18/01/2015;1200;0;
83766;19/01/2015;1200;0;
83766;20/01/2015;1200;0;
83766;21/01/2015;1200;2.4;
83766;22/01/2015;1200;0;
83766;23/01/2015;1200;0;
83766;24/01/2015;1200;0;
83766;25/01/2015;1200;7.2;
83766;26/01/2015;1200;11.6;
83766;27/01/2015;1200;45.6;
83766;28/01/2015;1200;17.4;
83766;29/01/2015;1200;31.6;
83766;30/01/2015;1200;3.4;
83766;31/01/2015;1200;0.4;
83766;01/02/2015;1200;0.6;
83766;02/02/2015;1200;0;
83766;03/02/2015;1200;0;
83766;04/02/2015;1200;4.8;
83766;05/02/2015;1200;2.4;
83766;06/02/2015;1200;0;
83766;07/02/2015;1200;0;
83766;08/02/2015;1200;23.6;
83766;09/02/2015;1200;0;
83766;10/02/2015;1200;1.4;
83766;11/02/2015;1200;1.2;
83766;12/02/2015;1200;0.4;
83766;13/02/2015;1200;0.4;
83766;14/02/2015;1200;16.8;
83766;15/02/2015;1200;3.8;
83766;16/02/2015;1200;23.4;
83766;17/02/2015;1200;10.8;
83766;18/02/2015;1200;25.8;
83766;19/02/2015;1200;22.2;
83766;20/02/2015;1200;28.2;
83766;21/02/2015;1200;8;
83766;22/02/2015;1200;0;
83766;23/02/2015;1200;0;
83766;24/02/2015;1200;0;
83766;25/02/2015;1200;5.2;
83766;26/02/2015;1200;2.4;
83766;27/02/2015;1200;5.2;
83766;28/02/2015;1200;0.8;
83766;01/03/2015;1200;0;
83766;02/03/2015;1200;0;
83766;03/03/2015;1200;0;
83766;04/03/2015;1200;0;
83766;05/03/2015;1200;0;
83766;06/03/2015;1200;23.6;
83766;07/03/2015;1200;0.8;
83766;08/03/2015;1200;13.6;
83766;09/03/2015;1200;2.2;
83766;10/03/2015;1200;16.6;
83766;11/03/2015;1200;3.6;
83766;12/03/2015;1200;9.8;
83766;13/03/2015;1200;0;
83766;14/03/2015;1200;0.8;
83766;15/03/2015;1200;1.2;
83766;16/03/2015;1200;0;
83766;17/03/2015;1200;0;
83766;18/03/2015;1200;0;
83766;19/03/2015;1200;0.4;
83766;20/03/2015;1200;1.4;
83766;21/03/2015;1200;4;
83766;22/03/2015;1200;7.6;
83766;23/03/2015;1200;0;
83766;24/03/2015;1200;0;
83766;25/03/2015;1200;0;
83766;26/03/2015;1200;0;
83766;27/03/2015;1200;1.6;
83766;28/03/2015;1200;0;
83766;29/03/2015;1200;2;
83766;30/03/2015;1200;22.8;
83766;31/03/2015;1200;0.4;
83766;01/04/2015;1200;0;
83766;02/04/2015;1200;0;
